Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
Babloo Happy Hai,6.7,0,0,0,6.7,6.7,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,83
Babu,7.1,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,7.1,64
Babul,7.3,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,72
Babul,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9
Babula,5.9,0,0,5.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,10
Babumoshai Bandookbaaz,6.9,6.9,0,0,0,0,0,0,0,0,0,0,6.9,6.9,0,0,0,0,0,0,0,0,0,6.9,1974
Baby,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,53997
Bach ke Zara,2.7,0,0,0,0,2.7,0,2.7,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,71
Bachke Rehna Re Baba,2.7,0,0,0,2.7,2.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,202
Bachna Ae Haseeno,6.1,0,0,0,6.1,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,10674
Bachpan,6.3,6.3,0,0,0,6.3,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,6.3,31
Back to Dad,8.2,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,9
Bad Aur Badnaam,6.2,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,6.2,0,0,0,0,0,6.2,12
Bad Boys,3.3,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,3.3,6
Bad Luck Govind,3.5,0,0,0,3.5,3.5,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,3.5,17
Bada Kabutar,5,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,22
Badal,6.7,6.7,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,34
Badal,7,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
Badal,4.9,4.9,0,0,4.9,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,4.9,1281
Badaltey Rishtey,6.7,0,0,0,6.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,62
Bade Dil Wala,6.3,6.3,0,0,6.3,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,6.3,118
Bade Dilwala,3.6,0,0,0,3.6,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1289
Bade Ghar Ki Beti,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66
Bade Miyan Chote Miyan,5.8,5.8,0,0,0,5.8,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,2787
Badhaai Ho,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29518
Badhaai Ho Badhaai,4.5,0,0,0,4.5,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,673
Badhu Nirupama,6.9,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,7
Badi Bahen,5.4,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,5.4,14
Badi Didi,4.4,0,0,0,4.4,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,11
Badi Maa,5.4,0,0,0,5.4,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,9
Badkaar,6.7,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,7
Badla,6.2,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,6.2,13
Badla,7.8,0,0,0,7.8,0,0,0,0,0,0,7.8,0,7.8,0,0,0,0,0,0,0,0,0,7.8,23890
Badla Aur Balidan,7.6,7.6,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,11
Badlapur,7.4,7.4,0,0,7.4,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,7.4,22324
Badlapur Boys,4.7,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,123
Badle Ki Aag,4.8,4.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,59
Badmaa$h Company,6,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,6466
Badmaash,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,25
Badman,4.3,0,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,30
Badmashiyaan,4.6,0,0,0,0,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,133
Badnaam Gali,7.1,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,805
Badnam Basti,6.6,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,10
Badrinath Ki Dulhania,6.1,0,0,0,6.1,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,10865
Baga Beach,5.9,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,14
Bagh Bahadur,7.7,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,72
Baghavat,6.4,6.4,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,66
Baghban,7.2,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,8
Baghban,7.4,0,0,0,7.4,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,15518
Bagpat Ka Dulha,5.5,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,6
Bahaar Aane Tak,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,4.7,63
Bahar,5.7,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,18
Baharen Phir Bhi Aayengi,7.1,0,0,0,7.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,93
Baharon Ke Sapne,7.6,0,0,0,7.6,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,77
Baharon Ki Manzil,7.1,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,7.1,54
Bahattar Hoorain,8.8,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,23
Bahen,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10
Bahu Begum,6.5,0,0,0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,69
Bahu Beti,6.5,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,6.5,17
Bahu Ki Awaaz,6.3,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,16
Bahurani,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,42
Bahut Din Huwe...,6.7,0,6.7,0,6.7,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,6.7,24
Bahut Hua Sammaan,7.3,0,0,0,7.3,7.3,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,7.3,3036
Baiju Bawra,7.4,0,0,0,7.4,0,7.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,343
Baikunth,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,0,9.3,29
Bajatey Raho,5.3,0,0,0,5.3,5.3,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,5.3,729
Bajirao Mastani,7.2,7.2,0,0,7.2,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,7.2,32073
Bajrangbali,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,7.7,85
Bajrangi Bhaijaan,8,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78448
Bal Bramhachari,2.7,2.7,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,113
Bal Ganesh 3,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,4.2,13
Bal Ganesh and the PomZom Planet,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,2.3,9
Bala,7.3,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,12370
Balidaan,5.6,5.6,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,5.6,54
Balidaan,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,16
Balika Badhu,6.9,0,0,0,6.9,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,229
Ballad of Rustom,8.1,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,24
Ballavpur Ki Roopkatha,7.5,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,17
Balram Shri Krishna,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,5.6,8
Balwaan,4.3,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,179
Balwinder Singh Famous Ho Gaya,3.6,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,50
Bambai Raat Ki Bahon Mein,6,0,0,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,13
Bamfaad,7.2,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,1533
Banaras,6.1,0,0,0,6.1,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,315
Banaras,3.2,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,24
Banarasi Babu,4.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,231
Banarasi Babu,6.7,0,0,0,6.7,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,6.7,73
Banarasi Thug,6.1,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,21
Band Baaja Baaraat,7.2,0,0,0,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,15583
Bandh Darwaza,5.1,5.1,0,0,5.1,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,298
Bandhan,4.8,4.8,0,0,4.8,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1852
Bandhan,7.2,0,0,0,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,7.2,85
Bandhan Kuchchey Dhaagon Ka,7.1,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,0,7.1,36
Bandhe Haath,5.8,5.8,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,5.8,100
Bandhu,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,7.9,7
Bandi,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,6.2,27
Bandini,7.7,0,0,0,7.7,0,7.7,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,756
Bandish,7.1,0,0,0,7.1,7.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,17
Bandish,6.1,6.1,0,0,6.1,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,6.1,47
Bandit Queen,7.6,0,0,0,7.6,0,0,0,0,0,0,0,0,7.6,0,7.6,0,0,0,0,0,0,0,7.6,4518
Bandook,5.9,0,0,0,0,0,0,0,0,0,0,0,5.9,5.9,0,0,0,0,0,0,0,0,0,5.9,140
Bang Bang,5.6,5.6,5.6,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,22436
Bangistan,4.5,0,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,1168
Banjaran,5.1,0,0,0,5.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,100
Banjo,4.9,4.9,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,4.9,1105
Bank Chor,5.9,5.9,0,0,0,5.9,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,5.9,2603
Bansuri: The Flute,3.7,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,7
Banwra,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
Bara-Dari,6.2,0,0,0,0,0,6.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,18
Barah Aana,6.8,0,0,0,6.8,6.8,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,6.8,1166
Barbed Wired,5.6,0,0,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,36
Bardaasht,5.9,5.9,0,0,5.9,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,5.9,661
Barefoot to Goa,5.6,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,5.6,149
Barfi!,8.1,0,0,0,8.1,8.1,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,77377
Barkha,4.9,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,9
Barkhaa,5.1,0,0,0,5.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,315
Barood,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,84
Barood,4.7,4.7,0,0,4.7,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,4.7,626
Barot House,7.3,0,0,0,0,0,0,0,0,0,0,7.3,7.3,0,0,0,0,0,0,0,0,0,0,7.3,1135
Barsaat,7.7,0,0,0,7.7,0,7.7,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,596
Barsaat,5.4,5.4,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,1193
Barsaat Ki Ek Raat,6.3,0,0,0,0,0,6.3,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,6.3,312
Barsaat Ki Raat,6.9,0,0,0,6.9,0,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,117
Barsaat Ki Raat,3.7,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,12
Bas Ek Pal,5.9,0,0,0,5.9,0,5.9,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,5.9,503
Bas Itna Sa Khwaab Hai...,3.7,0,0,0,3.7,0,3.7,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,3.7,586
Basant,6.8,0,0,0,6.8,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,21
Basant,6.5,0,0,0,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,33
Basant Bahar,7.1,0,0,0,7.1,0,7.1,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,32
Baseraa,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,6.8,133
Batla House,7.2,7.2,0,0,7.2,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,7.2,10092
Baton Baton Mein,7.5,0,0,0,0,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,1118
Battalion 609,2.8,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,101
Batti Gul Meter Chalu,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4685
Batwara,6.3,6.3,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,206
Bawandar,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,288
Bawarchi,8,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3793
Bawre Nain,6.9,0,0,0,6.9,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,36
Bazaar,6.8,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,6.8,6
Bazaar,7.3,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,7.3,481
Bazaar E Husn,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,15
Be-Careful,3.1,0,0,0,3.1,3.1,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,3.1,88
Bechain,4.8,4.8,0,0,4.8,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,8
Bedardi,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,3.9,148
Beehad - The Ravine,5.6,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,10
Bees Saal Baad,7.1,0,0,0,0,0,0,7.1,0,0,0,7.1,7.1,0,0,0,0,0,0,0,0,0,0,7.1,341
Bees Saal Baad,5.1,0,0,0,0,0,0,0,0,5.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,5.1,156
Befikre,3.9,0,0,0,3.9,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,7185
Begum Jaan,5.6,5.6,0,0,5.6,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2626
Behen Hogi Teri,5.6,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,1873
Behind the Mirror,5.9,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,14
Beiimaan Love,2.8,0,0,0,2.8,0,2.8,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,2.8,439
Be-Imaan,6.9,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,6.9,75
Bekaraar,3.7,0,0,0,3.7,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,27
Bekhudi,4.6,4.6,0,0,4.6,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,4.6,192
Bemisal,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,386
Benaam,6.8,0,0,0,6.8,0,0,0,0,0,0,6.8,6.8,0,0,0,0,0,0,0,0,0,0,6.8,251
Benaam,4.4,4.4,0,0,4.4,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,32
Benazir,7.3,0,0,0,7.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,39
Bengal Tiger,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,5.3,29
Benny and Babloo,6.1,0,0,0,6.1,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,349
Bepanaah,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,6.2,42
Be-Reham,6.8,6.8,0,0,0,0,0,0,0,0,0,0,6.8,6.8,0,0,0,0,0,0,0,0,0,6.8,32
Be-Shaque,6.3,0,6.3,0,6.3,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,6.3,30
Besharam,5.4,5.4,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,114
Besharam,3.6,3.6,0,0,0,3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,5355
Beta,6.3,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,1956
Betaab,6.6,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,6.6,532
Betaabi,4.4,0,0,0,4.4,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,104
Betaaj Badshah,4.8,4.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,44
Beti,5.8,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,10
Beti Bete,6.8,0,0,0,6.8,6.8,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,6.8,31
Bewafa,7.6,0,0,0,7.6,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,80
Bewafa Sanam,5.1,0,0,0,5.1,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,104
Bewafaa,4.4,0,0,0,4.4,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2393
Bewafai,5.6,0,0,0,5.6,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,58
Bewaffa Se Waffa,4.9,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,75
Bewajah,6.3,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,6.3,30
Bewakoofiyaan,5.5,0,0,0,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3938
Bewaqoof,5.2,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,35
Beyond Blue: An Unnerving Tale of a Demented Mind,6.7,0,0,0,0,0,0,0,0,0,0,6.7,0,6.7,0,0,6.7,0,0,0,0,0,0,6.7,7
Beyond Bollywood,6.1,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,6.1,0,0,6.1,0,0,0,0,6.1,58
Beyond the Clouds,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,2148
Bezubaan,7.3,0,0,0,7.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,70
Bezubaan Ishq,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68
Bhaag Johnny,5.2,5.2,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,5.2,0,0,0,0,0,0,5.2,963
Bhaag Milkha Bhaag,8.2,0,0,0,8.2,0,0,0,0,0,0,0,0,0,8.2,8.2,0,0,0,0,0,0,0,8.2,62636
Bhaagte Raho,3.6,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,18
Bhabhi,4.1,0,0,0,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,4.1,131
Bhabhi,6.7,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,47
Bhabhi Ki Chudiyan,5.4,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,5.4,30
Bhabhipedia,8.3,0,0,0,0,8.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,84
Bhadaas,2.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,26
Bhagam Bhag,6,6,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,21
Bhagam Bhag,6.5,0,0,0,6.5,6.5,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,6.5,11651
Bhagawat Ek Jung,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,18
Bhageeratha,5.6,5.6,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,227
Bhagmati,6.1,0,0,0,6.1,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,6.1,0,0,6.1,57
Bhagwaan Dada,4.3,0,0,0,4.3,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,4.3,169
Bhagwan Parshuram,8.7,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,10
Bhagwan Shri Krishna,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,10
Bhagyawan,4.4,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,68
Bhai,5.1,5.1,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,353
Bhai Bahen,4.9,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,4.9,24
Bhai Bhai,3.8,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,24
Bhai Ho To Aisa,5.7,5.7,0,0,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,37
Bhai Thakur,3.2,3.2,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,9
Bhai-Bahen,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,5
Bhai-Bhai,5.8,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,15
Bhairav,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,29
